date;time;temp °C;humidity %;pressure hPA;lux;average mic;pm1;pm2.5;pm10;gas;
21.01.02;15:30:09;22.7;54;1004;235;7.2;6;9;9;491009;
21.01.02;15:30:20;22.7;54;1003;223;6.6;6;9;9;499634;
21.01.02;15:30:30;22.7;54;1004;235;6.8;5;8;8;502577;
21.01.02;15:30:41;22.7;54;1003;214;6.0;5;8;9;495284;
21.01.02;15:30:52;22.7;54;1003;227;7.1;5;8;9;479289;
21.01.02;15:31:02;22.7;54;1003;218;6.6;5;7;7;475284;
21.01.02;15:31:13;22.7;54;1003;231;7.6;4;9;9;477946;
21.01.02;15:31:23;22.8;54;1003;243;4.8;4;9;9;464294;
21.01.02;15:31:34;22.8;54;1004;217;5.3;4;8;9;453800;
21.01.02;15:31:44;22.8;54;1004;230;6.5;4;8;8;449616;
21.01.02;15:31:55;22.7;54;1004;226;7.2;4;8;8;456531;
21.01.02;15:32:05;22.7;54;1004;226;5.5;4;7;7;463978;
21.01.02;15:32:16;22.7;54;1004;201;6.2;4;7;9;470696;
21.01.02;15:32:26;22.8;54;1004;239;6.2;4;7;9;464610;
21.01.02;15:32:37;22.8;54;1003;213;5.8;4;6;7;457143;
21.01.02;15:32:47;22.8;54;1004;222;7.2;3;7;10;452597;
21.01.02;15:32:58;22.8;54;1004;218;5.6;4;8;11;458063;
21.01.02;15:33:08;22.7;54;1004;213;6.2;4;8;10;464294;
21.01.02;15:33:19;22.7;54;1004;243;6.5;5;7;8;459915;
21.01.02;15:33:29;22.8;54;1004;227;5.8;5;7;7;451997;
21.01.02;15:33:40;22.8;54;1003;227;6.0;5;8;9;441189;
21.01.02;15:33:50;22.8;54;1004;223;6.7;5;9;9;442619;
21.01.02;15:34:01;22.8;54;1004;227;7.0;5;9;9;449320;
21.01.02;15:34:11;22.8;54;1004;227;6.2;6;9;9;453198;
21.01.02;15:34:22;22.7;54;1004;227;7.7;4;7;8;459915;
21.01.02;15:34:32;22.7;54;1004;224;5.0;4;7;8;466196;
21.01.02;15:34:43;22.6;54;1004;237;4.9;5;7;8;467473;
21.01.02;15:34:53;22.6;54;1004;233;5.4;4;6;7;466834;
21.01.02;15:35:04;22.5;54;1004;233;5.4;5;7;7;467794;
21.01.02;15:35:14;22.5;55;1004;225;6.4;5;6;6;471346;
21.01.02;15:35:25;22.5;55;1004;247;6.4;4;7;7;469725;
21.01.02;15:35:36;22.5;55;1004;226;6.1;4;7;7;467473;
21.01.02;15:35:46;22.5;55;1004;235;5.3;4;7;8;460535;
21.01.02;15:35:57;22.5;55;1004;231;6.3;6;9;9;466834;
21.01.02;15:36:07;22.4;55;1004;232;6.2;6;9;9;465560;
21.01.02;15:36:18;22.5;55;1004;240;6.6;4;9;9;459605;
21.01.02;15:36:28;22.4;55;1004;245;6.6;4;8;8;458679;
